Mean_Protein,Mean err_Protein,SD_Protein,SD err_Protein,log_protein_mean,log_protein_var
14.738,0.156,6.95,0.196,1.168438552,1.683969609
21.221,0.133,8.629,0.168,1.326765845,1.871920938
2435.911,10.089,912.887,8.114,3.386661417,5.920834045
68.948,0.33,26.625,0.294,1.838521673,2.850579233
13.22,0.09,5.05,1.091,1.121231455,1.406582756
64.061,0.467,22.707,0.43,1.806593714,2.71231952
30.665,0.389,12.29,3.266,1.486642969,2.179103766
50.366,0.234,17.237,0.178,1.702137461,2.472923363
477.221,2.529,220.595,2.864,2.678719546,4.687191329
0.326,0.026,0.895,0.083,-0.4867824,-0.096353929
3.352,0.117,3.205,0.143,0.52530401,1.011656068
3.107,0.037,1.507,0.213,0.492341253,0.356226505
37.932,0.24,14.171,0.322,1.579005742,2.302800996
0.82,0.071,0.909,0.202,-0.086186148,-0.082872234
6.869,0.074,2.755,0.133,0.836893516,0.880243206
5.437,0.073,4.167,0.148,0.735359333,1.239647001
25.95,0.112,9.175,0.16,1.414137362,1.925212146
1.594,0.146,2.512,0.453,0.202488317,0.80003927
28.733,0.155,9.733,0.181,1.458380973,1.976493447
5.859,0.076,3.022,0.096,0.767823498,0.96058892
20.017,0.135,7.229,0.171,1.301398989,1.718156449
31.722,0.115,9.919,0.186,1.501360561,1.992935781
19.117,0.144,7.249,0.761,1.28141974,1.7205562
12.39,0.052,3.758,0.099,1.093071306,1.149913552
58.922,0.223,19.418,0.2,1.77027748,2.576408994
71.319,0.353,23.702,0.355,1.853205245,2.749569988
3.868,0.044,2.23,0.064,0.587486465,0.696609726
21.952,0.1,7.771,0.316,1.341474094,1.780953818
67.478,0.33,24.901,0.349,1.829162202,2.792433577
0.774,0.055,1.446,0.091,-0.111259039,0.320336586
39.117,0.204,12.744,0.187,1.59236554,2.210611526
843.19,16.215,869.386,20.203,2.925925447,5.878425285
850.657,6.457,269.483,5.321,2.92975448,4.861062747
485.277,3.31,206.182,3.17,2.685989708,4.628501496
231.593,2.098,100.153,2.059,2.364725429,4.001327926
3.867,0.054,1.936,0.187,0.587374172,0.573810706
48.701,0.446,23.362,0.444,1.687537879,2.737020039
0.661,0.246,1.91,0.306,-0.179798541,0.562066734
11.416,0.142,5.511,0.2,1.05751396,1.482460822
1.944,0.096,1.842,0.07,0.288696261,0.530579252
53.307,0.41,18.203,0.413,1.726784242,2.520285938
1.275,0.148,1.389,0.211,0.105510185,0.285404491
26.676,0.453,12.947,0.386,1.426120709,2.224338296
2.26,0.047,1.518,0.095,0.354108439,0.362543543
1.557,0.184,2.037,0.284,0.192288613,0.617982058
0.945,0.065,1.339,0.048,-0.024568191,0.253561154
3.905,0.091,2.007,0.149,0.591621038,0.605094745
11.085,0.146,3.94,0.815,1.044735697,1.190992444
199.339,1.283,67.87,1.292,2.299592275,3.663355698
0.642,0.101,0.929,0.529,-0.192464972,-0.063968572
150.126,1.429,55.578,1.202,2.176455913,3.489805829
7.718,0.202,3.923,0.618,0.887504774,1.187236616
124.971,0.408,38.933,0.344,2.096809245,3.18063574
726.726,4.215,266.053,3.736,2.861370698,4.849936321
136.925,1.853,65.975,1.688,2.13648275,3.638758798
8.957,0.066,4.723,0.224,0.952162574,1.348435891
21.068,0.128,8.12,0.216,1.32362331,1.819112058
20.347,0.097,7.227,0.121,1.308500385,1.717916109
96.296,0.39,31.631,0.322,1.983608248,3.000225844
169.29,1.224,69.881,1.027,2.228631305,3.688718222
13.028,0.067,4.777,0.144,1.11487775,1.358310483
8.149,0.096,3.678,0.228,0.911104318,1.13122345
8.881,0.135,4.958,0.309,0.94846187,1.390613045
30.764,0.244,10.508,0.288,1.488042803,2.043040128
8.473,0.079,3.644,0.129,0.928037206,1.123156737
0.526,0.033,0.91,0.058,-0.279014256,-0.081917215
15.557,0.117,6.054,0.22,1.191925852,1.564084833
18.608,0.106,6.446,0.276,1.269699697,1.618580602
7.967,0.129,3.998,0.165,0.901294817,1.20368558
0.772,0.048,1.215,0.092,-0.1123827,0.169152556
7.29,0.066,4.083,0.261,0.862727528,1.22195876
22.611,0.223,9.373,0.204,1.35431977,1.943757234
11.891,0.399,20.436,0.602,1.075218379,2.620791788
55.045,0.427,22.351,0.386,1.740717876,2.698593917
0.157,0.072,0.444,0.068,-0.804100348,-0.70523406
2.34,0.066,1.819,0.099,0.369215857,0.519665398
165.478,0.65,50.718,0.526,2.218740263,3.410324239
4.914,0.142,3.124,0.262,0.691435152,0.98942205
50.991,0.327,19.032,0.673,1.707493529,2.558968858
18.658,0.128,8.665,0.118,1.270865089,1.875537134
1.758,0.135,2.609,0.118,0.245018871,0.832948158
28.569,0.397,13.764,0.445,1.455895039,2.277489328
183.053,1.036,69.958,0.965,2.262576851,3.68967477
25.582,0.144,9.677,0.224,1.407934495,1.971481482
3.5,0.144,2.969,0.188,0.544068044,0.945220395
40.98,0.376,16.53,0.45,1.612571954,2.436545707
102.751,1.659,53.959,1.172,2.011786057,3.464127785
3.02,0.066,2.153,0.105,0.480006943,0.66608806
10.944,0.071,4.312,0.098,1.039176084,1.269357504
1538.261,15.162,591.659,12.834,3.187030029,5.54414295
59.694,0.2,19.291,0.176,1.775930681,2.570709482
22.682,0.166,8.741,0.212,1.355681346,1.88312224
128.245,0.651,46.958,0.591,2.108040442,3.343419183
6.786,0.093,3.87,0.137,0.831613855,1.17542193
114.088,1.211,39.447,0.987,2.057239967,3.19202796
46.768,0.432,16.102,0.452,1.669948798,2.413759645
9.556,0.081,3.748,0.323,0.980276141,1.147599164
82.072,0.693,32.639,0.694,1.914195017,3.027473689
729.704,3.485,252.748,3.293,2.863146727,4.805375455
434.101,1.851,155.433,1.579,2.637590786,4.383086459
158.851,0.689,56.139,0.578,2.200989953,3.498529345
1146.626,7.15,524.041,5.518,3.059421785,5.438730533
15.784,0.162,7.871,0.374,1.198217072,1.792059825
3.347,0.102,2.031,0.14,0.524655712,0.615419847
1.871,4.188,2.077,7.181,0.272073788,0.634872993
5.423,0.048,2.418,0.121,0.734239604,0.766912593
4.021,0.047,2.204,0.076,0.604334073,0.68642318
1.058,0.056,1.392,0.071,0.024485668,0.287278471
8.178,0.193,4.516,0.539,0.912647106,1.309507867
0.281,0.119,0.89,0.412,-0.55129368,-0.101219987
14.346,0.068,5.899,0.289,1.156730826,1.541556792
91.551,0.665,39.075,0.71,1.961663092,3.183797973
687.39,3.697,244.791,3.65,2.83720321,4.777590893
0.502,0.055,0.68,0.123,-0.299296283,-0.334982175
27.612,0.173,11.821,0.431,1.441097865,2.145308435
8.2,0.172,3.61,0.47,0.913813852,1.115014404
22.11,0.513,11.495,0.646,1.344588743,2.121017951
127.561,0.718,49.127,0.613,2.105717915,3.382640488
28.971,0.296,12.413,0.262,1.461963486,2.187753511
0.48,0.043,0.564,0.073,-0.318758763,-0.497441792
6.821,0.118,4.224,0.184,0.83384805,1.251447819
1.181,0.1,1.786,0.564,0.072249898,0.503762909
4.205,0.076,2.606,0.248,0.623766,0.831948823
1.03,0.033,0.955,0.075,0.012837225,-0.039993257
5.421,0.105,3.098,0.132,0.734079407,0.982162827
384.865,2.507,137.044,2.274,2.585308418,4.273720052
80,0.584,30.499,0.468,1.903089987,2.9685712
1.77,0.124,3.723,0.214,0.247973266,1.141786072
3.438,0.026,1.752,0.085,0.536305872,0.487068204
1.075,0.084,1.367,0.281,0.031408464,0.271537029
2.786,0.049,2.696,0.051,0.444981112,0.861439776
2.136,0.115,2.295,0.141,0.329601248,0.72156538
9.066,0.116,4.607,0.135,0.957415715,1.326836425
5.995,0.079,2.67,0.157,0.777789187,0.853022523
11.685,0.079,4.883,0.174,1.067628717,1.377373449
32.275,0.314,11.076,0.284,1.508866251,2.088765894
8.456,0.077,4.65,0.3,0.927164974,1.334905906
33.049,0.21,13.227,0.221,1.519158323,2.242922707
88.981,1.034,29.603,0.818,1.949297282,2.94267145
1.991,0.062,1.37,0.099,0.29907126,0.273441134
15.511,0.15,6.751,0.476,1.190639798,1.658736216
80.329,0.578,39.546,0.623,1.904872361,3.194205124
4.373,13.235,1.991,714.599,0.640779477,0.59814252
1.475,0.038,1.05,0.047,0.16879202,0.042378598
0.455,0.157,0.574,0.047,-0.341988603,-0.482176215
1.062,0.036,1.829,0.034,0.026124517,0.524427411
3057.05,24.364,1309.59,23.364,3.485302542,6.2342707
27.157,0.209,11.985,0.337,1.433881792,2.157276077
30.797,0.464,14.55,0.508,1.488508413,2.325725987
213.204,3.653,111.747,2.397,2.328795348,4.096471745
5.122,0.073,2.628,0.152,0.709439574,0.839250722
14.628,0.128,6.529,0.376,1.165184952,1.629693337
61.01,0.57,30.136,0.55,1.785401025,2.958171214
2.07,0.124,1.278,0.13,0.315970345,0.213061708
96.516,0.426,32.569,0.368,1.984599315,3.025608848
68.529,0.449,22.438,0.397,1.835874394,2.701968287
0.3,0.049,0.855,0.066,-0.522878745,-0.136067771
0.207,3.296,0.444,10.386,-0.684029655,-0.70523406
43.68,0.335,15.828,0.391,1.64028263,2.398852083
20.673,0.191,10.753,0.305,1.315403505,2.063059292
56.629,0.502,25.044,0.579,1.753038893,2.79740739
18.52,0.11,6.364,0.108,1.267640982,1.607460342
37.702,0.253,13.247,0.319,1.576364389,2.244235073
67.294,0.354,21.511,0.334,1.827976344,2.665321201
193.209,1.01,58.999,0.977,2.286027353,3.541689301
355.062,2.779,136.231,2.325,2.550304195,4.268551889
13.199,0.148,5.2,0.087,1.120541029,1.432006687
49.983,0.227,16.931,0.203,1.698822319,2.457365219
98.608,0.83,29.665,0.784,1.99391215,2.944488705
5.556,0.161,3.269,0.521,0.744762237,1.028829841
8.768,0.241,5.199,1.954,0.942900541,1.431839635
9.911,0.107,4.513,0.278,0.996117476,1.308930667
3.476,0.049,2.054,0.08,0.541079768,0.625200879
0.885,0.037,0.941,0.07,-0.053056729,-0.052820753
89.104,1.124,39.517,1.418,1.949897201,3.193567934
0.302,0.033,0.713,0.048,-0.519993057,-0.29382094
158.495,0.802,60.65,0.663,2.200015566,3.56566161
485.087,7.405,341.969,8.944,2.685819636,5.067973477
32.895,0.824,24.778,0.557,1.517129891,2.788132497
3.359,0.1,2.223,0.444,0.526210004,0.693878925
0.253,0.671,0.576,0.744,-0.596879479,-0.479155033
760.082,8.09,339.725,7.086,2.880860448,5.062255015
48.021,0.339,20.03,0.372,1.6814312,2.603361899
0.961,0.067,1.493,0.048,-0.017276612,0.348119615
11.53,0.084,4.716,0.164,1.061829307,1.347147593
0.181,0.011,0.618,0.03,-0.742321425,-0.41802305
8.855,0.057,3.814,0.27,0.947188566,1.162761377
7.619,0.067,3.365,0.071,0.881897974,1.053970137
1.038,0.057,1.18,0.084,0.016197354,0.143764015
51.812,0.598,22.454,0.623,1.714430357,2.702587437
55.45,0.639,23.353,0.702,1.74390155,2.736685359
1.64,0.084,1.595,0.217,0.214843848,0.405521375
20.175,0.192,8.764,0.236,1.304813543,1.885404738
8.687,0.074,2.137,0.057,0.938869822,0.659609044
9.515,0.105,4.946,0.205,0.978408793,1.388508224
25.551,0.272,9.062,0.282,1.407407902,1.914448116
13.503,0.069,5.404,0.148,1.130430268,1.465430681
1.41,0.022,0.993,0.079,0.149219113,-0.006101503
22.914,0.204,9.174,0.238,1.360100909,1.925117472
2.167,0.072,1.824,0.174,0.335858911,0.522049668
0.616,0.073,1.517,0.1,-0.210419288,0.361971162
106.978,1.075,51.758,0.818,2.029294474,3.427954973
6.345,0.064,3.408,0.143,0.802431626,1.064999172
35.802,0.284,15.255,0.845,1.553907288,2.366824424
0.922,0.075,1.2,0.044,-0.035269079,0.158362492
56.032,0.243,20.813,0.217,1.748436124,2.636669368
9.267,0.083,4.056,0.178,0.966939163,1.216195893
0.251,0.042,0.736,0.054,-0.600326279,-0.266244371
53.579,0.434,21.966,0.654,1.728994604,2.683501959
197.673,0.798,71.714,0.615,2.295947353,3.711207894
637.755,2.653,202.523,2.279,2.804653872,4.612948704
16.468,0.158,5.425,0.294,1.216640858,1.468799485
15.779,0.24,5.97,0.345,1.198079476,1.551948662
4.585,0.025,1.827,0.045,0.66133934,0.523477095
2.87,0.047,1.404,0.081,0.457881897,0.294734216
8.66,0.067,4.12,0.095,0.937517892,1.229794432
168.148,1.08,66.683,1.101,2.225691706,3.64803026
0.721,0.08,1.464,0.163,-0.142064735,0.331082153
238.944,1.657,117.474,1.607,2.37829613,4.139883514
0.325,0.029,0.966,0.081,-0.488116639,-0.030045747
187.766,1.301,74.722,1.179,2.273616955,3.746896975
24.296,0.164,7.407,0.358,1.385534779,1.739284689
35.914,0.123,10.953,0.124,1.555263778,2.079066175
1.183,0.036,1.272,0.099,0.072984745,0.208974223
11,0.069,4.353,0.065,1.041392685,1.277577334
37.896,0.219,14.714,0.238,1.578593372,2.335461503
2.697,0.093,1.634,0.134,0.430880946,0.426504104
42.293,0.325,16.779,0.348,1.626268492,2.449532148
248.055,2.206,89.639,2.177,2.394547985,3.904994006
27.614,0.249,11.789,0.319,1.441129321,2.142953935
133.679,0.74,45.281,0.638,2.126063188,3.311832019
0.256,0.035,0.681,0.046,-0.591760035,-0.333705776
0.418,0.04,0.782,0.07,-0.378823718,-0.213586494
14.02,0.107,6.015,0.361,1.146748014,1.558471263
0.756,0.088,1.679,0.212,-0.121478204,0.450101392
0.744,0.057,1.067,0.106,-0.128427064,0.056328839
610.512,6.309,228.912,5.364,2.785694205,4.71933712
1.571,0.082,1.678,0.148,0.196176185,0.449583913
0.383,0.029,0.689,0.045,-0.416801226,-0.323561556
0.32,0.045,0.766,0.054,-0.494850022,-0.231542461
24.635,0.184,10.63,0.26,1.391552567,2.053066529
14.755,0.068,6.132,0.083,1.168939214,1.575204292
3.091,0.038,2.207,0.086,0.490099005,0.687604666
0.06,0.095,0.442,0.328,-1.22184875,-0.709155461
2.764,0.044,1.934,0.038,0.441538039,0.572912939
0.811,0.273,0.979,0.117,-0.090979146,-0.018434616
44.788,0.427,19.702,0.368,1.65116167,2.589020629
108.101,1.071,48.371,0.969,2.033829711,3.369170132
219.007,3.06,113.198,3.401,2.340457996,4.107677507
0.218,0.061,0.633,0.102,-0.661543506,-0.39719258
0.093,0.026,0.395,0.074,-1.031517051,-0.806805809
12.847,0.126,6.426,0.287,1.108801724,1.615881442
32.437,0.178,11.425,0.388,1.511040681,2.115712417
5.872,0.049,2.934,0.186,0.768786047,0.934920219
14.447,0.145,7.112,0.139,1.159777673,1.703983496
1.314,0.271,1.334,0.693,0.118595365,0.250311659
13.396,0.27,8.256,0.325,1.126975139,1.833539369
2.845,0.586,2.287,1.792,0.454082271,0.718532329
23.322,0.234,11.743,0.89,1.367765791,2.139558122
3.143,0.416,2.138,0.919,0.497344381,0.660015402
30.192,0.22,12.654,0.222,1.479891883,2.20445566
36.831,0.376,20.482,0.379,1.566213511,2.622744724
17.7,0.116,6.851,0.301,1.247973266,1.671507935
12.929,0.082,5.342,0.167,1.111564935,1.455407767
23.693,0.216,10.475,0.509,1.374620054,2.040308063
42.904,0.332,13.625,0.314,1.632497784,2.268673022
18.22,0.084,6.093,0.26,1.260548373,1.569662356
84.754,0.734,27.973,0.653,1.928160204,2.893478091
5.316,0.054,2.673,0.263,0.725584972,0.853997918
73.676,0.644,29.458,0.497,1.867326039,2.938406516
13.506,0.077,4.632,3.165,1.130526745,1.331537101
11.615,0.085,4.912,0.163,1.065019214,1.382516716
7.146,0.056,3.241,0.111,0.854063012,1.021358062
73.177,0.342,26.395,0.281,1.864374601,2.843043333
5.274,0.073,2.824,0.113,0.722140125,0.901729385
51.647,0.723,20.715,0.906,1.7130451,2.632569875
58.781,0.795,27.452,0.8,1.76923697,2.87714798
1.134,0.924,1.25,22.061,0.054613055,0.193820026
10.744,0.089,4.492,0.152,1.031166,1.304879495
56.729,0.498,30.713,0.505,1.753805128,2.97464448
9.764,0.073,4.056,0.161,0.989627771,1.216195893
25.486,0.182,10.125,0.204,1.406301679,2.010790064
14.968,0.137,6.477,0.291,1.175163774,1.622747794
28.655,0.365,12.187,1.409,1.457200413,2.171793622
7.058,0.064,3.102,0.088,0.848681654,0.983283587
100.924,0.635,39.916,0.566,2.003994455,3.202294028
60.094,0.346,20.528,0.327,1.778831113,2.624693278
11.335,0.076,4.799,0.119,1.054421524,1.3623015
9.01,0.059,3.763,0.056,0.954724791,1.151068437
28.758,0.252,10.415,0.4,1.458758679,2.035318549
10.883,0.189,5.31,0.335,1.036748629,1.450189042
2.07,0.045,1.288,0.046,0.315970345,0.219831726
19.418,0.135,9.284,1.874,1.288204497,1.935470264
64.567,0.48,23.84,0.408,1.810010608,2.754612502
0.341,0.258,1.123,0.311,-0.467245621,0.100759513
15.983,0.182,7.319,0.643,1.203658299,1.728903494
283.238,2.157,160.796,2.513,2.452151519,4.412550482
8.579,0.071,4.116,0.228,0.933436668,1.228950732
25.663,0.315,10.808,0.856,1.409307424,2.067490672
94.955,0.41,35.213,0.368,1.977517838,3.093406053
2.978,0.036,1.921,0.15,0.473924693,0.56705473
1.101,0.073,1.97,0.088,0.041787319,0.588932452
5.44,0.034,2.096,0.058,0.7355989,0.642782557
0.67,4.014,0.658,12.574,-0.173925197,-0.363548213
12.163,0.085,5.221,0.173,1.085040707,1.435507386
13.06,0.131,5.458,0.156,1.115943177,1.474067063
0.244,0.056,0.624,0.073,-0.612610174,-0.409630821
17.477,0.097,7.026,0.424,1.242466886,1.693416291
29.372,0.187,11.73,0.225,1.46793352,2.138596024
93.78,0.578,32.514,0.488,1.972110228,3.024140803
4.107,0.1,3.804,0.135,0.613524703,1.160481017
62.672,0.662,35.642,0.742,1.797073554,3.103924132
51.674,0.303,20.14,0.248,1.713272081,2.608118932
42.35,0.34,14.863,0.387,1.626853415,2.344212956
88.954,1.274,36.348,1.443,1.949165482,3.120961039
60.165,0.38,18.547,0.355,1.779343921,2.536547344
46.069,0.324,15.56,0.315,1.663408785,2.384019185
13.589,0.223,7.372,0.389,1.133187499,1.735170653
342.234,1.677,116.36,1.563,2.534323153,4.131607425
7.617,0.095,3.405,0.182,0.881783956,1.064234232
3.547,0.037,1.881,0.08,0.549861188,0.548777591
39.293,0.376,17.052,0.411,1.594315188,2.463550648
5.889,0.201,2.912,1.573,0.770041554,0.928382741
10.341,0.124,4.347,0.127,1.014562538,1.27637928
8.579,0.061,5.459,0.233,0.933436668,1.474226189
87.363,0.607,27.55,0.603,1.941327539,2.880243206
2.209,0.065,1.639,0.222,0.344195716,0.429157907
0.173,0.033,0.587,0.061,-0.761953897,-0.462723798
29.269,0.128,11.488,0.159,1.466407885,2.120488854
0.183,0.027,0.621,0.045,-0.73754891,-0.4138168
0.403,0.035,0.676,0.084,-0.394694954,-0.340106608
1.778,0.069,1.99,0.236,0.249931757,0.597706153
1.865,0.037,1.22,0.076,0.270678836,0.172719661
5.622,0.061,2.929,0.209,0.749890841,0.933438743
125.83,0.999,57.566,0.821,2.099784197,3.520332107
14.723,0.122,6.547,0.141,1.167996312,1.632084682
2.78,0.072,1.362,0.204,0.444044796,0.268354215
2.214,0.288,1.717,0.447,0.345177617,0.46954059
0.487,0.032,0.659,0.058,-0.312471039,-0.362229171
0.699,0.028,1.004,0.041,-0.155522824,0.003467426
0.17,0.014,0.523,0.097,-0.769551079,-0.562996622
0.05,0.021,0.27,0.126,-1.301029996,-1.137272472
6.23,0.056,2.962,0.281,0.794488047,0.943170108
6.566,0.237,5.725,0.74,0.817300878,1.515550982
0.112,0.051,0.433,0.109,-0.950781977,-0.727024207
10.191,0.075,4.325,0.161,1.008216802,1.271972224
125.054,1.427,55.495,1.251,2.097097588,3.488507711
1.772,0.067,1.462,0.171,0.248463718,0.329894745
3.925,0.045,2.463,0.167,0.593839661,0.782928824
11.537,0.115,5.765,0.155,1.062092893,1.521598623
4.435,0.092,4.441,0.293,0.646893624,1.294961546
11,0.115,10.179,0.446,1.041392685,2.015410229
52.44,0.603,21.41,0.52,1.719662683,2.661233335
2.926,0.082,2.266,0.138,0.466274322,0.710519811
0.987,0.046,1.308,0.088,-0.005682847,0.233215488
0.209,0.06,0.437,0.142,-0.679853714,-0.719037126
3123.624,16.081,1095.827,13.811,3.494658751,6.079483994
